"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"07 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120350.00","121250.00","119877.00","121111.00","120249.00","18951","18951.000 GRMS ","2286841.27","15964"
"06 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","118900.00","120600.00","118900.00","120249.00","118113.00","16933","16933.000 GRMS ","2029620.51","15784"
"03 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","117100.00","118345.00","116780.00","118113.00","117588.00","11586","11586.000 GRMS ","1364018.82","15587"
"01 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","117630.00","118444.00","117094.00","117588.00","117265.00","14532","14532.000 GRMS ","1712160.33","15493"
"30 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","116899.00","117788.00","115460.00","117265.00","116344.00","23143","23143.000 GRMS ","2701780.90","15010"
"29 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","115226.00","116497.00","115100.00","116344.00","114891.00","12798","12798.000 GRMS ","1484597.82","14384"
"26 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","113795.00","115074.00","113790.00","114891.00","113871.00","12942","12942.000 GRMS ","1479403.14","14168"
"25 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","113391.00","114380.00","113280.00","113871.00","113647.00","12300","12300.000 GRMS ","1399893.73","13309"
"24 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","114549.00","114870.00","113567.00","113647.00","114839.00","7766","7766.000 GRMS ","888527.78","11656"
"23 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","113321.00","115139.00","113219.00","114839.00","113220.00","10157","10157.000 GRMS ","1163233.49","10840"
"22 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","111468.00","113290.00","111439.00","113220.00","110951.00","7761","7761.000 GRMS ","872805.68","9897"
"19 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110791.00","111014.00","110123.00","110951.00","110134.00","2860","2860.000 GRMS ","316252.48","8075"
"18 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110500.00","110950.00","109700.00","110134.00","110866.00","3365","3365.000 GRMS ","371035.12","7179"
"17 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110809.00","110961.00","110250.00","110866.00","111185.00","2531","2531.000 GRMS ","280046.97","6733"
"16 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","111239.00","111703.00","111007.00","111185.00","111237.00","3082","3082.000 GRMS ","343358.59","6314"
"15 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110301.00","111350.00","109963.00","111237.00","110434.00","2478","2478.000 GRMS ","274105.70","5977"
"12 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110314.00","110700.00","110206.00","110434.00","110047.00","1872","1872.000 GRMS ","206765.91","5569"
